sites,run,icd,exec
16,10,34,17799
16,11,28,14739
16,12,27,15442
16,13,28,15621
16,14,41,13232
16,15,40,18280
16,16,46,15909
16,17,20,15230
16,18,65,16750
16,19,64,16752
16,20,26,16527
17,1,34,13890
17,2,24,16968
17,3,54,15221
17,4,27,11936
17,5,41,12580
17,6,31,19151
17,7,45,14784
17,8,46,21161
17,9,34,22410
17,10,71,13861
17,11,37,21091
17,12,28,15671
17,13,39,20889
17,14,49,16985
17,15,18,18082
17,16,15,15452
17,17,59,15448
17,18,66,14339
17,19,32,11757
17,20,39,12589
18,1,35,11732
18,2,28,12613
18,3,47,13892
18,4,53,13452
18,5,70,23988
18,6,51,18308
18,7,51,14781
18,8,52,14338
18,9,34,11488
18,10,44,14374
18,11,44,15673
18,12,44,17857
18,13,40,13479
18,14,50,13467
18,15,35,14347
18,16,47,19130
18,17,39,20699
18,18,57,15010
18,19,48,19162
18,20,36,16980
19,1,23,11712
19,2,42,16719
19,3,44,13687
19,4,44,19149
19,5,68,22009
19,6,48,18917
19,7,53,19329
19,8,41,21749
19,9,73,14359
19,10,32,13481
19,11,40,13931
19,12,29,18491
19,13,41,19812
19,14,9,16330
19,15,37,14138
19,16,32,14767
19,17,23,14338
19,18,44,12391
19,19,27,17860
19,20,38,19197
20,1,76,18290
20,2,25,12850
20,3,28,13031
20,4,32,13922
20,5,51,23049
20,6,27,13699
20,7,31,17222
20,8,34,13279
20,9,55,16750
20,10,53,13669
20,11,46,15209
20,12,17,12798
20,13,43,17428
20,14,36,18308
20,15,41,15860
20,16,37,14549
20,17,23,15642
20,18,62,19809
20,19,58,16122
20,20,68,20038
